DATASET_NAME,NUMBER_OF_TRAINING_RELEASES,PERCENTAGE_TRAINING,PERCENTAGE_DEFECTIVE_TRAINING,PERCENTAGE_DEFECTIVE_TESTING,CLASSIFIER,BALANCING,FEATURE_SELECTION,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE,PRECISION,RECALL,ROC_AREA,KAPPA
bookkeeper,2,19.622778382299604,26.062846580406653,27.107061503416855,IBK,UNDER_SAMPLING,NO_SELECTION,65.0,113.0,207.0,54.0,0.3651685393258427,0.5462184873949579,0.5972557773109244,0.16707756279894131
bookkeeper,3,35.54588320638375,26.53061224489796,24.60136674259681,IBK,UNDER_SAMPLING,NO_SELECTION,65.0,97.0,234.0,43.0,0.4012345679012346,0.6018518518518519,0.6534911043974488,0.2642869113457349
bookkeeper,4,51.4689880304679,25.933756166314307,68.86363636363636,IBK,UNDER_SAMPLING,NO_SELECTION,144.0,34.0,103.0,159.0,0.8089887640449438,0.4752475247524752,0.6135361711353617,0.18166750183093708
bookkeeper,5,67.42836416394631,36.094674556213015,61.65919282511211,IBK,UNDER_SAMPLING,NO_SELECTION,275.0,49.0,122.0,0.0,0.8487654320987654,1.0,0.8538011695906432,0.7543224587989299
bookkeeper,6,83.60536815379035,41.0412147505423,70.13274336283186,IBK,UNDER_SAMPLING,NO_SELECTION,275.0,10.0,125.0,42.0,0.9649122807017544,0.8675078864353313,0.8967169061806286,0.7428840221410288
bookkeeper,1,8.705114254624592,32.916666666666664,20.59800664451827,IBK,SMOTE,NO_SELECTION,49.0,62.0,177.0,13.0,0.44144144144144143,0.7903225806451613,0.7654541773518694,0.41071288731107575
bookkeeper,2,19.622778382299604,26.062846580406653,27.107061503416855,IBK,SMOTE,NO_SELECTION,41.0,86.0,234.0,78.0,0.3228346456692913,0.3445378151260504,0.5378939075630252,0.07422075918115419
bookkeeper,3,35.54588320638375,26.53061224489796,24.60136674259681,IBK,SMOTE,NO_SELECTION,47.0,72.0,259.0,61.0,0.3949579831932773,0.4351851851851852,0.6088312632874566,0.21044233187737493
bookkeeper,4,51.4689880304679,25.933756166314307,68.86363636363636,IBK,SMOTE,NO_SELECTION,97.0,11.0,126.0,206.0,0.8981481481481481,0.3201320132013201,0.6199200211992002,0.17255962285080426
bookkeeper,5,67.42836416394631,36.094674556213015,61.65919282511211,IBK,SMOTE,NO_SELECTION,273.0,34.0,137.0,2.0,0.8892508143322475,0.9927272727272727,0.8940457203615099,0.823019774696325
bookkeeper,6,83.60536815379035,41.0412147505423,70.13274336283186,IBK,SMOTE,NO_SELECTION,275.0,2.0,133.0,42.0,0.9927797833935018,0.8675078864353313,0.9263699030260545,0.7858511898352535
bookkeeper,1,8.705114254624592,32.916666666666664,20.59800664451827,NAIVE_BAYES,NO_SAMPLING,NO_SELECTION,56.0,178.0,61.0,6.0,0.23931623931623933,0.9032258064516129,0.7399784046430018,0.07816245006657786
bookkeeper,2,19.622778382299604,26.062846580406653,27.107061503416855,NAIVE_BAYES,NO_SAMPLING,NO_SELECTION,52.0,28.0,292.0,67.0,0.65,0.4369747899159664,0.7970456932773109,0.389572752155267
bookkeeper,3,35.54588320638375,26.53061224489796,24.60136674259681,NAIVE_BAYES,NO_SAMPLING,NO_SELECTION,33.0,27.0,304.0,75.0,0.55,0.3055555555555556,0.7964081906680094,0.2634228187919463
bookkeeper,4,51.4689880304679,25.933756166314307,68.86363636363636,NAIVE_BAYES,NO_SAMPLING,NO_SELECTION,69.0,17.0,120.0,234.0,0.8023255813953488,0.22772277227722773,0.49035195490351957,0.07227579718423442
bookkeeper,5,67.42836416394631,36.094674556213015,61.65919282511211,NAIVE_BAYES,NO_SAMPLING,NO_SELECTION,86.0,37.0,134.0,189.0,0.6991869918699187,0.31272727272727274,0.542434875066454,0.08248830308216056
bookkeeper,6,83.60536815379035,41.0412147505423,70.13274336283186,NAIVE_BAYES,NO_SAMPLING,NO_SELECTION,144.0,28.0,107.0,173.0,0.8372093023255814,0.45425867507886436,0.7490361023484052,0.18867654938381861
