DATASET_NAME,NUMBER_OF_TRAINING_RELEASES,PERCENTAGE_TRAINING,PERCENTAGE_DEFECTIVE_TRAINING,PERCENTAGE_DEFECTIVE_TESTING,CLASSIFIER,BALANCING,FEATURE_SELECTION,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE,PRECISION,RECALL,ROC_AREA,KAPPA
openjpa,10,64.480144546133,3.1737329434697856,0.5662020905923345,RANDOM_FOREST,UNDER_SAMPLING,NO_SELECTION,11.0,418.0,1865.0,2.0,0.02564102564102564,0.8461538461538461,0.9376326695643384,0.03921377174751243
openjpa,11,73.49856632232216,2.8537836682342883,1.108998732572877,RANDOM_FOREST,UNDER_SAMPLING,NO_SELECTION,28.0,569.0,2552.0,7.0,0.04690117252931323,0.8,0.8926717627134161,0.06910378010673905
openjpa,12,85.89496838053341,2.601975489299433,1.1417432470064048,RANDOM_FOREST,UNDER_SAMPLING,NO_SELECTION,35.0,518.0,3032.0,6.0,0.06329113924050633,0.8536585365853658,0.9135279972518036,0.09868429876208726
openjpa,1,3.7943359912015397,2.691511387163561,6.940371456500489,RANDOM_FOREST,SMOTE,NO_SELECTION,23.0,0.0,952.0,48.0,1.0,0.323943661971831,0.7355604213516392,0.4714088873579061
openjpa,2,7.812561373188263,4.876822523881348,8.31858407079646,RANDOM_FOREST,SMOTE,NO_SELECTION,30.0,37.0,999.0,64.0,0.44776119402985076,0.3191489361702128,0.7409122648484351,0.326006590525234
openjpa,3,12.251070348403314,6.123757614620071,5.146476642913697,RANDOM_FOREST,SMOTE,NO_SELECTION,31.0,62.0,1136.0,34.0,0.3333333333333333,0.47692307692307695,0.8991267497110569,0.3532198182050949
openjpa,4,17.21198790211713,5.842081241442264,2.4566473988439306,RANDOM_FOREST,SMOTE,NO_SELECTION,23.0,42.0,1308.0,11.0,0.35384615384615387,0.6764705882352942,0.8661764705882353,0.44680080847084375
openjpa,5,22.648179425743354,5.0294831772459245,1.8013856812933025,RANDOM_FOREST,SMOTE,NO_SELECTION,24.0,10.0,2116.0,15.0,0.7058823529411765,0.6153846153846154,0.8583833851942977,0.6516895870470375
openjpa,6,31.152048391531483,4.148278905560459,2.4367816091954024,RANDOM_FOREST,SMOTE,NO_SELECTION,20.0,18.0,2104.0,33.0,0.5263157894736842,0.37735849056603776,0.7378629985951309,0.4279179151817719
openjpa,7,39.695196197808244,3.7799327132396594,3.0990173847316704,RANDOM_FOREST,SMOTE,NO_SELECTION,35.0,8.0,1274.0,6.0,0.813953488372093,0.8536585365853658,0.9633956089950915,0.8278720517443267
openjpa,8,44.89178679445382,3.7011112083296878,2.0841227737779464,RANDOM_FOREST,SMOTE,NO_SELECTION,32.0,18.0,2566.0,23.0,0.64,0.5818181818181818,0.959991556431185,0.6016163773265355
openjpa,9,55.25747279940296,3.3977822007392664,1.8313458262350937,RANDOM_FOREST,SMOTE,NO_SELECTION,41.0,6.0,2299.0,2.0,0.8723404255319149,0.9534883720930233,0.9994249104575493,0.9093777438994971
openjpa,10,64.480144546133,3.1737329434697856,0.5662020905923345,RANDOM_FOREST,SMOTE,NO_SELECTION,3.0,40.0,2243.0,10.0,0.06976744186046512,0.23076923076923078,0.9459213585363389,0.09931114563228904
openjpa,11,73.49856632232216,2.8537836682342883,1.108998732572877,RANDOM_FOREST,SMOTE,NO_SELECTION,11.0,25.0,3096.0,24.0,0.3055555555555556,0.3142857142857143,0.8778184647777727,0.30200942425391025
openjpa,12,85.89496838053341,2.601975489299433,1.1417432470064048,RANDOM_FOREST,SMOTE,NO_SELECTION,8.0,23.0,3527.0,33.0,0.25806451612903225,0.1951219512195122,0.8519134318103745,0.21449943361587223
openjpa,1,3.7943359912015397,2.691511387163561,6.940371456500489,IBK,NO_SAMPLING,BEST_FIRST,13.0,26.0,926.0,58.0,0.3333333333333333,0.18309859154929578,0.5956991951710262,0.1968371467025566
openjpa,2,7.812561373188263,4.876822523881348,8.31858407079646,IBK,NO_SAMPLING,BEST_FIRST,16.0,65.0,971.0,78.0,0.19753086419753085,0.1702127659574468,0.5764601988006244,0.11468206572358394
openjpa,3,12.251070348403314,6.123757614620071,5.146476642913697,IBK,NO_SAMPLING,BEST_FIRST,32.0,64.0,1134.0,33.0,0.3333333333333333,0.49230769230769234,0.7219853602157442,0.35812074629446305
openjpa,4,17.21198790211713,5.842081241442264,2.4566473988439306,IBK,NO_SAMPLING,BEST_FIRST,18.0,33.0,1317.0,16.0,0.35294117647058826,0.5294117647058824,0.8254030501089324,0.4060189888939496
